"Home","Score","Away","Score"
"Cleveland Cavaliers",109,"Utah Jazz",100
"Houston Rockets",115,"Milwaukee Bucks",111
"Memphis Grizzlies",93,"Boston Celtics",102
"Miami Heat",90,"Los Angeles Clippers",85
"Minnesota Timberwolves",106,"Phoenix Suns",108
"New York Knicks",111,"Oklahoma City Thunder",96
"San Antonio Spurs",98,"Dallas Mavericks",96
"Brooklyn Nets",97,"Indiana Pacers",109
"Detroit Pistons",114,"Orlando Magic",110
"Toronto Raptors",108,"Sacramento Kings",93
"Washington Wizards",99,"Cleveland Cavaliers",106
"Atlanta Hawks",110,"Miami Heat",104
"Chicago Bulls",117,"Philadelphia 76ers",115
"Charlotte Hornets",109,"New York Knicks",91
"Dallas Mavericks",91,"Phoenix Suns",97
"Houston Rockets",120,"Utah Jazz",99
"Indiana Pacers",111,"Boston Celtics",112
"Los Angeles Lakers",114,"Golden State Warriors",116
"Minnesota Timberwolves",108,"Portland Trail Blazers",107
"Oklahoma City Thunder",95,"Denver Nuggets",94
"San Antonio Spurs",109,"Los Angeles Clippers",91
"Milwaukee Bucks",119,"Cleveland Cavaliers",116
"Philadelphia 76ers",95,"Sacramento Kings",101
"Washington Wizards",116,"New Orleans Pelicans",106
"Atlanta Hawks",95,"Indiana Pacers",105
"Boston Celtics",89,"Miami Heat",90
"Brooklyn Nets",99,"Sacramento Kings",104
"Chicago Bulls",112,"Orlando Magic",94
"Charlotte Hornets",111,"Toronto Raptors",129
"Dallas Mavericks",110,"Detroit Pistons",93
"Denver Nuggets",104,"Minnesota Timberwolves",112
"Golden State Warriors",97,"Memphis Grizzlies",84
"Houston Rockets",116,"Los Angeles Lakers",122
"Los Angeles Clippers",108,"Phoenix Suns",95
"Oklahoma City Thunder",107,"Utah Jazz",79
"Portland Trail Blazers",91,"San Antonio Spurs",93
"Cleveland Cavaliers",115,"Chicago Bulls",112
"New York Knicks",102,"Boston Celtics",93
"Philadelphia 76ers",109,"Toronto Raptors",114
"Phoenix Suns",97,"Memphis Grizzlies",95
"Utah Jazz",100,"San Antonio Spurs",89
"Brooklyn Nets",119,"Washington Wizards",84
"Detroit Pistons",104,"New York Knicks",101
"Golden State Warriors",113,"Los Angeles Lakers",106
"Houston Rockets",118,"Los Angeles Clippers",128
"Miami Heat",113,"Dallas Mavericks",101
"Milwaukee Bucks",109,"Charlotte Hornets",104
"Oklahoma City Thunder",120,"Atlanta Hawks",117
"Orlando Magic",97,"New Orleans Pelicans",111
"Portland Trail Blazers",85,"Denver Nuggets",102
"Atlanta Hawks",112,"Dallas Mavericks",107
"Boston Celtics",117,"Chicago Bulls",92
"Charlotte Hornets",111,"Milwaukee Bucks",106
"Golden State Warriors",81,"Denver Nuggets",96
"Indiana Pacers",123,"Brooklyn Nets",119
"Los Angeles Lakers",92,"Portland Trail Blazers",95
"Memphis Grizzlies",115,"Los Angeles Clippers",112
"Miami Heat",94,"New Orleans Pelicans",109
"Phoenix Suns",106,"Minnesota Timberwolves",115
"Sacramento Kings",99,"San Antonio Spurs",108
"Toronto Raptors",102,"Philadelphia 76ers",86
"Utah Jazz",89,"Oklahoma City Thunder",103
"Washington Wizards",130,"Orlando Magic",103
"Boston Celtics",103,"Washington Wizards",111
"Golden State Warriors",99,"Cleveland Cavaliers",92
"Los Angeles Lakers",104,"Minnesota Timberwolves",121
"New York Knicks",98,"Philadelphia 76ers",105
"Oklahoma City Thunder",112,"Houston Rockets",107
"Dallas Mavericks",98,"Toronto Raptors",93
"Denver Nuggets",107,"Utah Jazz",83
"Detroit Pistons",107,"Indiana Pacers",83
"Los Angeles Clippers",122,"Sacramento Kings",95
"Miami Heat",107,"Orlando Magic",89
"Milwaukee Bucks",106,"Chicago Bulls",115
"Phoenix Suns",99,"Memphis Grizzlies",97
"San Antonio Spurs",109,"Brooklyn Nets",97
"Atlanta Hawks",113,"Washington Wizards",99
"Chicago Bulls",92,"New York Knicks",87
"Charlotte Hornets",91,"Boston Celtics",102
"Golden State Warriors",126,"Utah Jazz",101
"Indiana Pacers",94,"Dallas Mavericks",98
"Los Angeles Lakers",99,"Memphis Grizzlies",109
"Minnesota Timberwolves",128,"Denver Nuggets",125
"New Orleans Pelicans",128,"Brooklyn Nets",113
"Oklahoma City Thunder",124,"Toronto Raptors",107
"Sacramento Kings",109,"Cleveland Cavaliers",95
"Boston Celtics",99,"Houston Rockets",98
"Milwaukee Bucks",102,"Minnesota Timberwolves",96
"Orlando Magic",102,"Detroit Pistons",89
"Portland Trail Blazers",114,"Philadelphia 76ers",110
"San Antonio Spurs",119,"New York Knicks",107
"Chicago Bulls",119,"Indiana Pacers",107
"Golden State Warriors",100,"Charlotte Hornets",111
"Los Angeles Lakers",106,"Los Angeles Clippers",121
"Miami Heat",87,"Brooklyn Nets",111
"New Orleans Pelicans",120,"Dallas Mavericks",128
"Oklahoma City Thunder",95,"Milwaukee Bucks",97
"Sacramento Kings",101,"Phoenix Suns",111
"Toronto Raptors",111,"Atlanta Hawks",98
"Washington Wizards",121,"Houston Rockets",103
"Atlanta Hawks",104,"Portland Trail Blazers",89
"Denver Nuggets",102,"Philadelphia 76ers",107
"Detroit Pistons",93,"San Antonio Spurs",79
"Golden State Warriors",141,"Memphis Grizzlies",128
"New Orleans Pelicans",103,"New York Knicks",105
"Orlando Magic",111,"Miami Heat",117
"Utah Jazz",104,"Cleveland Cavaliers",101
"Boston Celtics",108,"Brooklyn Nets",105
"Houston Rockets",148,"Los Angeles Lakers",142
"Indiana Pacers",90,"Minnesota Timberwolves",107
"Los Angeles Clippers",106,"Charlotte Hornets",98
"Oklahoma City Thunder",113,"Dallas Mavericks",116
"Phoenix Suns",110,"Philadelphia 76ers",123
"Sacramento Kings",96,"Memphis Grizzlies",114
"Washington Wizards",114,"Chicago Bulls",110
"Brooklyn Nets",98,"Orlando Magic",95
"Chicago Bulls",120,"Portland Trail Blazers",124
"Minnesota Timberwolves",114,"Los Angeles Lakers",96
"Toronto Raptors",131,"Milwaukee Bucks",127
"Cleveland Cavaliers",127,"Portland Trail Blazers",110
"Los Angeles Clippers",113,"Memphis Grizzlies",105
"New York Knicks",91,"San Antonio Spurs",100
