"Home","Score","Away","Score"
"MIN",7,"CLE",5
"CHW",6,"MIL",1
"ATL",4,"WSN",2
"NYM",0,"CHC",2
"DET",4,"TOR",8
"SEA",3,"TBD",1
"ARI",6,"FLA",2
"SFG",2,"PHI",0
"ANA",2,"TEX",3
"SDP",8,"CIN",2
"NYM",1,"CHC",7
"HOU",4,"BOS",5
"COL",4,"LAD",12
"MIN",7,"CLE",1
"DET",7,"TOR",4
"ATL",3,"WSN",5
"BAL",5,"NYY",8
"STL",3,"PIT",2
"KCR",5,"OAK",4
"CHW",0,"MIL",5
"SFG",4,"PHI",0
"SEA",4,"TBD",3
"SDP",2,"CIN",7
"ANA",6,"TEX",0
"ARI",9,"FLA",1
"COL",8,"LAD",11
"STL",0,"PIT",4
"KCR",0,"OAK",16
"MIN",7,"CLE",4
"HOU",7,"BOS",3
"CHW",8,"MIL",3
"ATL",4,"WSN",0
"NYM",4,"CHC",7
"DET",5,"TOR",2
"BAL",1,"NYY",4
"SEA",6,"TEX",1
"SDP",8,"FLA",3
"MIN",8,"CLE",9
"HOU",4,"BOS",2
"LAD",1,"PHI",2
"ATL",4,"WSN",2
"STL",10,"PIT",8
"NYM",1,"CHC",5
"OAK",7,"TBD",3
"DET",6,"ANA",2
"SEA",6,"TEX",7
"SDP",3,"FLA",2
"LAD",8,"PHI",2
"OAK",0,"TBD",6
"COL",4,"SFG",7
"KCR",11,"MIN",8
"ATL",1,"NYM",4
"DET",6,"ANA",1
"PIT",2,"CHC",1
"BAL",0,"WSN",2
"NYY",5,"HOU",3
"ARI",4,"CIN",7
"MIL",3,"STL",2
"CLE",9,"CHW",1
"BOS",6,"TOR",4
"SEA",5,"TEX",9
"SDP",9,"FLA",5
"LAD",1,"PHI",6
"OAK",3,"TBD",4
"ARI",5,"CIN",2
"COL",11,"SFG",4
"KCR",2,"MIN",1
"MIL",1,"STL",6
"ATL",7,"NYM",6
"DET",2,"ANA",9
"BOS",8,"TOR",3
"PIT",6,"CHC",8
