"Home","Score","Away","Score"
"Florida Panthers",6,"Winnipeg Jets",4
"Los Angeles Kings",4,"Ottawa Senators",3
"Montreal Canadiens",2,"Calgary Flames",3
"Pittsburgh Penguins",4,"New York Islanders",3
"San Jose Sharks",5,"Carolina Hurricanes",4
"St. Louis Blues",3,"Dallas Stars",0
"Tampa Bay Lightning",5,"Colorado Avalanche",2
"Vancouver Canucks",1,"Philadelphia Flyers",4
"Anaheim Ducks",2,"Minnesota Wild",3
"Chicago Blackhawks",3,"Buffalo Sabres",2
"New Jersey Devils",3,"Columbus Blue Jackets",5
"Nashville Predators",3,"Vegas Golden Knights",4
"Washington Capitals",4,"New York Rangers",2
"Boston Bruins",3,"New York Islanders",1
"Columbus Blue Jackets",1,"Arizona Coyotes",0
"Calgary Flames",4,"Vancouver Canucks",2
"Dallas Stars",3,"Vegas Golden Knights",5
"Detroit Red Wings",1,"St. Louis Blues",6
"Florida Panthers",3,"Colorado Avalanche",7
"Los Angeles Kings",3,"Carolina Hurricanes",2
"Montreal Canadiens",2,"Edmonton Oilers",6
"New York Rangers",5,"New Jersey Devils",2
"Pittsburgh Penguins",3,"Toronto Maple Leafs",4
"San Jose Sharks",5,"Ottawa Senators",0
"Tampa Bay Lightning",4,"Winnipeg Jets",3
"Chicago Blackhawks",3,"Arizona Coyotes",1
"San Jose Sharks",3,"Minnesota Wild",4
"St. Louis Blues",3,"Buffalo Sabres",2
"Toronto Maple Leafs",1,"Edmonton Oilers",0
"Anaheim Ducks",3,"Carolina Hurricanes",2
"Detroit Red Wings",1,"Florida Panthers",2
"New York Islanders",3,"Washington Capitals",1
"New York Rangers",1,"Dallas Stars",2
"Pittsburgh Penguins",1,"Colorado Avalanche",2
"Winnipeg Jets",5,"Vancouver Canucks",1
"Buffalo Sabres",3,"Ottawa Senators",2
"Columbus Blue Jackets",2,"Edmonton Oilers",7
"Chicago Blackhawks",3,"Florida Panthers",2
"Minnesota Wild",2,"Calgary Flames",1
"New Jersey Devils",5,"Los Angeles Kings",1
"Philadelphia Flyers",4,"Toronto Maple Leafs",2
"St. Louis Blues",0,"Tampa Bay Lightning",3
"Vegas Golden Knights",2,"Carolina Hurricanes",3
"Washington Capitals",5,"Colorado Avalanche",2
"Detroit Red Wings",2,"Boston Bruins",3
"New York Islanders",2,"Dallas Stars",5
"Ottawa Senators",3,"New York Rangers",2
"Vancouver Canucks",1,"Nashville Predators",7
"Arizona Coyotes",1,"Tampa Bay Lightning",4
"Boston Bruins",3,"Washington Capitals",5
"Columbus Blue Jackets",6,"New York Islanders",4
"Calgary Flames",2,"San Jose Sharks",3
"Colorado Avalanche",2,"Florida Panthers",1
"Edmonton Oilers",0,"Nashville Predators",4
"Minnesota Wild",2,"Toronto Maple Leafs",0
"Montreal Canadiens",2,"New Jersey Devils",1
"Philadelphia Flyers",2,"Buffalo Sabres",1
"St. Louis Blues",1,"Anaheim Ducks",3
"Vegas Golden Knights",2,"Pittsburgh Penguins",1
"Winnipeg Jets",1,"Chicago Blackhawks",5
"Buffalo Sabres",4,"Carolina Hurricanes",5
"Detroit Red Wings",3,"Toronto Maple Leafs",1
"New Jersey Devils",5,"Dallas Stars",2
"New York Rangers",4,"Los Angeles Kings",2
"Vancouver Canucks",4,"San Jose Sharks",3
"Arizona Coyotes",2,"Pittsburgh Penguins",4
"Boston Bruins",2,"New York Rangers",3
"Carolina Hurricanes",2,"Columbus Blue Jackets",1
"Calgary Flames",0,"Nashville Predators",2
"Colorado Avalanche",5,"Tampa Bay Lightning",6
"Minnesota Wild",2,"Edmonton Oilers",3
"New York Islanders",4,"Los Angeles Kings",3
"Ottawa Senators",3,"Montreal Canadiens",0
"Philadelphia Flyers",2,"Dallas Stars",1
"St. Louis Blues",2,"Winnipeg Jets",0
"Washington Capitals",3,"Anaheim Ducks",2
"Chicago Blackhawks",4,"Minnesota Wild",1
"Vancouver Canucks",1,"Calgary Flames",6
"Vegas Golden Knights",5,"Florida Panthers",2
"Winnipeg Jets",4,"St. Louis Blues",0
"Boston Bruins",7,"Columbus Blue Jackets",2
"Colorado Avalanche",4,"Pittsburgh Penguins",2
"Edmonton Oilers",5,"San Jose Sharks",3
"New Jersey Devils",5,"Anaheim Ducks",3
"Philadelphia Flyers",1,"Los Angeles Kings",4
"Arizona Coyotes",2,"Florida Panthers",3
"Buffalo Sabres",0,"Boston Bruins",3
"Dallas Stars",3,"Washington Capitals",4
"Nashville Predators",4,"Winnipeg Jets",6
"New York Islanders",3,"Detroit Red Wings",6
"New York Rangers",4,"Anaheim Ducks",1
"Ottawa Senators",4,"Minnesota Wild",6
"Toronto Maple Leafs",8,"Carolina Hurricanes",1
"Vancouver Canucks",5,"Montreal Canadiens",7
"Vegas Golden Knights",4,"Tampa Bay Lightning",3
"Columbus Blue Jackets",4,"Toronto Maple Leafs",2
"Calgary Flames",2,"St. Louis Blues",1
"Philadelphia Flyers",4,"Detroit Red Wings",3
"Boston Bruins",2,"Winnipeg Jets",1
"Dallas Stars",4,"Chicago Blackhawks",0
"Edmonton Oilers",3,"St. Louis Blues",2
"Los Angeles Kings",2,"Colorado Avalanche",1
"New Jersey Devils",4,"New York Rangers",3
"Nashville Predators",1,"Carolina Hurricanes",4
"New York Islanders",4,"Anaheim Ducks",5
"Pittsburgh Penguins",3,"Columbus Blue Jackets",2
"San Jose Sharks",5,"Vancouver Canucks",4
"Tampa Bay Lightning",4,"Ottawa Senators",3
"Arizona Coyotes",3,"Washington Capitals",2
"Buffalo Sabres",4,"Philadelphia Flyers",2
"Calgary Flames",2,"Montreal Canadiens",3
"Florida Panthers",4,"Minnesota Wild",2
"Arizona Coyotes",2,"Colorado Avalanche",6
"Boston Bruins",3,"Detroit Red Wings",1
"Carolina Hurricanes",4,"Buffalo Sabres",2
"Columbus Blue Jackets",2,"Philadelphia Flyers",1
"Dallas Stars",4,"Nashville Predators",3
"Edmonton Oilers",4,"Montreal Canadiens",1
"Florida Panthers",1,"Ottawa Senators",0
"New Jersey Devils",4,"Chicago Blackhawks",1
